"Monto";"Cantidad";"level3";"Proveedor";"Municipios"
698.065;2;Empanadas, tartas y pies;"""Verónica Rojas""";Municipalidad de Quintero
6.711.861;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Daimont""";Municipalidad de Las Condes
1.560.648;10;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Zabeth del Carmen Cerda Etchepare""";Municipalidad de Puerto Saavedra
140.465;4;Acompañamientos preparados;"""Gastón Maldonado""";Municipalidad de Cisnes
896.933;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Servicios Integrados Sidapt Ltda.""";Municipalidad de Estación Central
342.124;4;Bebidas y comidas infantiles;"""Terzolo y Merello Hnos""";Municipalidad de Puente Alto
1.305.355;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""PRISA S.A.""";Municipalidad de Caldera
525.155;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Externaliza Producciones SpA""";Municipalidad de La Granja
1.439.888;2;Acompañamientos preparados;"""ELSA BELTRAN ROCHA Y CIA. LTDA.""";Municipalidad de Purén
375.452;1;Bebidas y comidas infantiles;"""victoria  carreno""";Municipalidad de Buín
503.167;1;Aceites vegetales y grasas comestibles;"""Luvaly SPA""";Municipalidad de Colbún
164.523;1;Bebidas y comidas infantiles;"""Supergigante Comercial Aquiles Barra Mendez E.I.R.L.""";Municipalidad de Longaví
5.475.421;54;Acompañamientos preparados;"""SARA""";Municipalidad de Pichidegua
3.780.499;1;Aceites vegetales y grasas comestibles;"""jose vicente suazo benitez""";Municipalidad de Nacimiento
156.275;1;Bebidas y comidas infantiles;"""Catania Producciones de Eventos Limitada""";Municipalidad de Talcahuano
8.396;1;Aceites vegetales y grasas comestibles;"""Redoffice""";Municipalidad de Hualpén
660.504;2;Empanadas, tartas y pies;"""carolina """;Municipalidad de Putaendo
2.782.709;3;Aceites vegetales y grasas comestibles;"""DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA""";Municipalidad de Fresia
90.438;1;Empanadas, tartas y pies;"""panaderia el grano""";Municipalidad de Renaico
13.510.568;4;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Servicios Integrados Sidapt Ltda.""";Municipalidad de La Pintana
253.910;1;Empanadas, tartas y pies;"""norma quelempan huentulle""";Municipalidad de Puerto Saavedra
48.066;1;Aceites vegetales y grasas comestibles;"""SUPERMERCADO LA MUNDIAL""";Municipalidad de Loncoche
148.406;1;Grasas y aceites animales comestibles;"""Gloria de las Mercedes Cañete Duran""";Municipalidad de San Bernardo
7.297.528;7;Empanadas, tartas y pies;"""kiosco alojamiento comida rapida""";Municipalidad de Salamanca
357.363;1;Empanadas, tartas y pies;"""eventus""";Municipalidad de La Pintana
51.988;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Redoffice""";Municipalidad de Nancagua
60.875;1;Bebidas y comidas infantiles;"""Gustavo Hernan """;Municipalidad de Paredones
3.159.490;7;Bebidas y comidas infantiles;"""Diprolab Ltda.""";Municipalidad de Quilpue
1.412.484;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""HUERTOS DEL SUR""";Municipalidad de La Pintana
139.302;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Redoffice""";Municipalidad de Recoleta
15.811.367;8;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Servicios Integrados Sidapt Ltda.""";Municipalidad de Maipú
4.238.973;9;Empanadas, tartas y pies;"""Supermercado Holzapfel""";Municipalidad de Toltén
122.908;1;Grasas y aceites animales comestibles;"""La Posada""";Municipalidad de Santa Bárbara
116.251;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Alejandra""";Municipalidad de Los Álamos
5.694.806;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de Ovalle
341.918;1;Empanadas, tartas y pies;"""pasteleriapucon""";Municipalidad de Curarrehue
80.212;1;Ensaladas preparadas;"""Redoffice""";Municipalidad de Concepción
310.533;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""FABIOLA ROSARIO """;Municipalidad de Canela
2.809.397;4;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""La Posada""";Municipalidad de Santa Bárbara
336.606;3;Acompañamientos preparados;"""Jose del Carmen Carvallo Palma""";Municipalidad de Coelemu
266.160;1;Empanadas, tartas y pies;"""rodrigo javier""";Municipalidad de Ercilla
565.238;2;Empanadas, tartas y pies;"""Catania Producciones de Eventos Limitada""";Municipalidad de Lota
390.761;1;Aceites vegetales y grasas comestibles;"""Josefina Arenas Vasquez - casa matriz""";Municipalidad de Peralillo
451.430;2;Aceites vegetales y grasas comestibles;"""Victor Rosales Comercializadora E.I.R.L""";Municipalidad de Lota
60.290;1;Empanadas, tartas y pies;"""Olimpia""";Municipalidad de Talcahuano
1.152.282;1;Grasas y aceites animales comestibles;"""Panaderia Portales""";Municipalidad de La Ligua
3.048.525;3;Acompañamientos preparados;"""COMERCIAL SOLO FRESCO SA""";Municipalidad de La Calera
1.512.337;1;Empanadas, tartas y pies;"""eventoserika""";Municipalidad de San Pedro
5.080.283;27;Aceites vegetales y grasas comestibles;"""Zabeth del Carmen Cerda Etchepare""";Municipalidad de Nueva Imperial
950.222;4;Aceites vegetales y grasas comestibles;"""CLAUDIA ANDREA SALDIVIA VIDAL""";Municipalidad de Coyhaique
147.146;1;Ensaladas preparadas;"""DIMERC S.A.""";Municipalidad de Monte Patria
196.560;1;Aceites vegetales y grasas comestibles;"""Egidio Alexis""";Municipalidad de Ñiquen
811.310;5;Empanadas, tartas y pies;"""SABER T.G. Rancagua""";Municipalidad de Coltauco
53.986;1;Acompañamientos preparados;"""SUPERMERCADO AGUAS AZULES""";Municipalidad de Los Muermos
204.776;2;Empanadas, tartas y pies;"""G & S""";Municipalidad de Concón
204.128;1;Bebidas y comidas infantiles;"""JASA MUÑOZ E.I.R.L.""";Municipalidad de El Monte
95.226;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Sigap SpA""";Municipalidad de Lota
39.442.866;11;Acompañamientos preparados;"""Distribuidora Pec""";Municipalidad de Santiago
22.093;1;Aceites vegetales y grasas comestibles;"""PRISA S.A.""";Municipalidad de La Serena
114.379;1;Empanadas, tartas y pies;"""COMERCIAL AMAR HERMANOS Y CIA""";Municipalidad de Victoria
1.185.223;3;Aceites vegetales y grasas comestibles;"""DIMERC S.A.""";Municipalidad de Peñalolén
305.890;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Centro Pan""";Municipalidad de Quillón
120.987;1;Empanadas, tartas y pies;"""GISELLE """;Municipalidad de Requínoa
90.120;1;Bebidas y comidas infantiles;"""SOCOFAR S A""";Municipalidad de La Cisterna
313.829;1;Grasas y aceites animales comestibles;"""Comercializadora Icono Ltda.""";Municipalidad de Diego de Almagro
543.462;3;Ensaladas preparadas;"""FRAN-EDUAR""";Municipalidad de Buín
5.443.060;4;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Mantenciones y negocios del Sur Ltda.		 """;Municipalidad de Puerto Varas
183.943;1;Aceites vegetales y grasas comestibles;"""Comercial Brich""";Municipalidad de Arica
140.465;4;Aceites vegetales y grasas comestibles;"""Gastón Maldonado""";Municipalidad de Cisnes
7.950.914;2;Acompañamientos preparados;"""DIMERC S.A.""";Municipalidad de La Pintana
1.072.979;3;Acompañamientos preparados;"""Super-Quemchi""";Municipalidad de Ranquil
181.631;1;Grasas y aceites animales comestibles;"""CLAUDIA ANDREA VALDEBENITO ABURTO""";Municipalidad de La Unión
69.649;1;Grasas y aceites animales comestibles;"""Patty""";Municipalidad de Salamanca
